contribution_id,user_id,type,category,description,location,status
1,187,DONATION,Education,I want to offer support related to education for people in need,Chennai,OPEN
2,59,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
3,76,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
4,85,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
5,31,SERVICE,Food,I want to offer support related to food for people in need,Madurai,CLOSED
6,165,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
7,147,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,CLOSED
8,30,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
9,232,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
10,261,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
11,143,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
12,139,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,OPEN
13,272,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
14,261,SERVICE,Education,I want to offer support related to education for people in need,Chennai,OPEN
15,267,SERVICE,Food,I want to offer support related to food for people in need,Madurai,OPEN
16,176,SERVICE,Food,I want to offer support related to food for people in need,Chennai,OPEN
17,74,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
18,95,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
19,122,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
20,47,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
21,192,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
22,93,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,OPEN
23,218,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
24,41,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
25,169,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
26,243,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
27,2,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
28,205,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,CLOSED
29,49,SERVICE,Education,I want to offer support related to education for people in need,Trichy,OPEN
30,53,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
31,281,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
32,216,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
33,49,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
34,20,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
35,270,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
36,133,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
37,216,DONATION,Education,I want to offer support related to education for people in need,Chennai,OPEN
38,107,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
39,228,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
40,81,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
41,169,SERVICE,Food,I want to offer support related to food for people in need,Madurai,OPEN
42,246,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
43,167,SERVICE,Education,I want to offer support related to education for people in need,Madurai,CLOSED
44,111,DONATION,Food,I want to offer support related to food for people in need,Madurai,CLOSED
45,214,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
46,107,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
47,68,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
48,260,DONATION,Food,I want to offer support related to food for people in need,Trichy,CLOSED
49,269,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
50,148,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
51,97,SERVICE,Food,I want to offer support related to food for people in need,Madurai,CLOSED
