interaction_id,contribution_id,ngo_id,accepted,response_time,success
1,1205,36,1,29,0
2,1402,16,0,10,0
3,20,426,1,32,1
4,670,289,1,3,1
5,384,89,0,40,0
6,1014,386,1,20,1
7,1179,110,0,7,1
8,336,471,0,6,1
9,661,333,0,24,1
10,410,14,0,27,1
11,1757,95,1,44,0
12,780,137,1,6,0
13,1976,76,1,39,1
14,650,410,1,44,1
15,698,303,0,43,1
16,1664,414,1,40,1
17,406,199,0,43,0
18,617,445,0,23,0
19,1064,281,1,18,0
20,180,442,0,14,0
21,1201,43,0,48,1
22,35,217,1,9,0
23,1912,45,0,30,0
24,1319,459,0,23,1
25,1728,458,0,42,0
26,1096,23,0,21,0
27,69,364,1,36,0
28,1095,499,0,9,0
29,479,27,1,5,1
30,1308,363,0,45,0
31,1771,325,1,6,1
32,1048,212,0,35,1
33,1556,27,0,10,1
34,1871,163,1,39,1
35,63,131,1,32,0
36,1165,473,0,21,0
37,1318,98,0,27,0
38,1391,145,1,18,0
39,1004,450,1,44,0
40,447,23,1,30,1
41,1879,236,0,7,0
42,1888,363,1,48,1
43,778,7,0,44,0
44,698,28,0,30,0
45,374,251,0,10,1
46,1974,335,0,10,1
47,858,143,0,12,0
48,1779,448,1,33,1
49,1132,307,0,7,1
50,1675,324,0,3,0
51,217,434,0,28,1
52,787,459,1,38,0
53,879,76,0,11,0
54,413,148,0,36,1
55,625,488,0,28,0
56,107,192,1,21,0
57,872,303,0,12,0
58,1425,18,1,37,0
59,1006,66,1,26,1
60,1519,184,0,38,1
61,345,332,0,4,1
62,1409,322,1,9,1
63,1879,192,1,35,0
64,430,147,0,44,0
65,946,48,0,4,1
66,114,386,1,2,1
67,435,287,1,8,1
68,1418,71,1,15,0
69,69,367,0,25,1
70,357,267,0,8,0
71,495,145,1,35,1
72,753,229,1,34,0
73,118,452,1,8,0
74,1805,323,0,34,1
75,576,45,1,26,1
76,864,449,0,25,1
77,1111,177,0,28,1
78,1982,217,0,9,0
79,419,423,1,38,0
80,1549,263,0,39,0
81,490,186,1,14,0
82,1061,424,0,14,0
83,1813,416,0,42,1
84,587,102,0,22,0
85,1951,93,0,6,0
86,1814,215,0,8,0
87,1558,402,0,18,0
88,434,162,0,26,1
89,1418,102,0,30,0
90,28,214,1,31,0
91,1856,250,0,9,1
92,1492,417,0,27,0
93,1529,346,1,24,0
94,1790,203,0,21,1
95,1280,416,1,31,1
96,243,460,0,40,1
97,1912,354,0,28,0
98,1567,10,1,38,0
99,1990,143,1,20,1
100,639,389,1,21,0
101,911,344,1,45,1
102,1633,388,0,10,0
103,871,156,1,28,0
104,1294,116,0,29,0
105,538,162,1,14,1
106,1247,420,0,11,0
107,1560,99,0,8,0
108,671,475,1,45,0
109,1512,432,1,23,1
110,917,173,1,5,1
111,705,80,1,41,0
112,912,457,1,28,1
113,309,233,0,47,1
114,1307,461,0,38,1
115,1285,330,0,47,0
116,1651,348,0,29,1
117,1143,306,0,46,0
118,85,88,0,47,0
119,177,154,1,20,0
120,934,440,1,22,1
121,833,346,0,26,1
122,1105,268,1,5,1
123,57,421,1,30,1
124,319,275,1,1,1
125,1603,442,1,32,1
126,1339,206,1,2,1
127,25,175,0,11,0
128,998,351,0,27,1
129,1307,473,1,34,0
130,1474,310,0,43,1
131,1974,353,1,13,1
132,1193,67,1,10,1
133,998,489,1,8,1
134,212,470,1,36,0
135,859,347,0,19,0
136,1173,240,1,32,1
137,483,204,1,26,0
138,1009,123,0,17,1
139,91,127,0,4,1
140,1205,139,0,8,0
141,1405,131,1,18,1
142,495,121,1,32,0
143,157,476,0,26,1
144,1801,341,1,5,0
145,10,120,1,27,0
146,1144,412,1,9,0
147,533,164,1,22,0
148,1425,304,0,36,0
149,1093,378,0,2,0
150,1432,357,1,23,0
151,1693,342,1,31,1
152,1205,411,1,38,0
153,1508,66,1,22,1
154,1294,70,1,25,1
155,1489,32,0,14,0
156,1802,42,0,2,0
157,474,268,0,36,1
158,131,271,0,26,0
159,631,156,1,27,1
160,119,420,1,37,1
161,295,437,1,46,1
162,1921,485,1,28,1
163,1965,128,0,39,0
164,1668,164,1,10,1
165,1718,498,1,16,1
166,117,312,0,33,0
167,1794,474,1,26,0
168,345,220,1,26,1
169,1088,169,0,31,0
170,5,166,1,24,0
171,1580,144,0,40,0
172,952,263,1,45,1
173,25,124,1,10,0
174,1105,295,1,33,1
175,368,6,0,28,1
176,449,388,1,14,1
177,1277,101,1,10,0
178,1327,379,1,29,1
179,1689,222,0,43,0
180,1661,76,1,27,0
181,844,229,1,17,0
182,1918,116,1,30,1
183,1650,227,1,19,1
184,1539,71,1,6,1
185,591,192,1,21,1
186,735,198,1,38,0
187,669,108,1,5,0
188,1221,189,1,34,1
189,668,127,0,8,0
190,54,364,1,22,0
191,442,299,0,23,0
192,1526,313,0,3,1
193,1089,334,1,15,0
194,3,53,0,9,1
195,244,72,0,21,0
196,356,93,1,29,0
197,1248,312,1,42,1
198,1361,332,1,13,1
199,491,136,1,29,0
200,449,78,0,34,0
201,1636,355,0,29,1
202,809,427,0,37,0
203,592,205,1,8,0
204,1353,269,1,8,1
205,1963,238,0,31,0
206,29,161,1,45,1
207,1652,461,1,38,1
208,1974,31,1,30,0
209,800,431,0,40,0
210,1134,358,1,18,1
211,647,199,1,1,1
212,1873,485,1,38,1
213,1559,461,1,9,1
214,209,407,1,39,0
215,661,473,0,22,1
216,680,368,1,5,1
217,883,239,0,42,1
218,124,366,0,14,0
219,57,93,1,11,1
220,1172,443,0,20,0
221,1266,206,1,39,0
222,1812,392,1,34,0
223,1638,87,0,25,0
224,1001,118,0,15,0
225,1127,39,0,15,0
226,1601,282,0,41,1
227,552,489,1,22,0
228,1879,152,1,43,0
229,1531,301,0,7,0
230,978,114,0,35,1
231,1067,238,1,28,1
232,459,182,1,36,0
233,1582,20,0,17,0
234,1845,411,1,4,0
235,1949,410,0,17,1
236,1409,174,1,1,0
237,1989,179,0,13,0
238,303,43,1,46,1
239,704,452,1,44,1
240,1936,444,1,47,1
241,1841,468,0,38,1
242,345,390,1,22,0
243,1049,354,1,35,1
244,1058,446,1,15,1
245,1899,451,1,25,1
246,1732,28,0,15,0
247,329,329,0,18,0
248,46,370,0,11,1
249,1276,107,0,2,1
250,457,430,1,46,0
251,138,239,1,34,1
252,1229,202,1,8,0
253,1865,32,1,27,1
254,1749,163,1,25,0
255,748,242,0,21,0
256,1010,69,1,40,1
257,1725,81,1,2,1
258,163,489,0,35,0
259,1195,395,0,5,1
260,1264,24,0,41,1
261,445,142,0,7,0
262,1459,291,0,13,1
263,1289,282,1,34,1
264,974,62,0,36,0
265,1841,139,0,31,0
266,1121,87,0,42,1
267,339,257,0,34,1
268,577,378,1,21,0
269,1100,106,1,48,1
270,80,155,1,41,0
271,546,136,0,24,1
272,904,268,1,11,1
273,1899,395,0,9,1
274,1042,36,1,9,0
275,1216,317,1,22,1
276,911,287,1,22,1
277,972,319,0,35,0
278,372,500,1,10,1
279,1980,188,0,43,0
280,1976,325,0,23,1
281,672,422,1,42,0
282,1572,443,0,32,0
283,1237,326,1,25,0
284,1066,452,1,20,1
285,506,170,0,5,0
286,1392,51,0,4,1
287,1339,404,0,28,0
288,186,251,1,3,0
289,1855,362,0,40,0
290,1262,224,1,29,1
291,1464,45,1,9,0
292,1967,297,1,38,0
293,688,474,1,29,0
294,690,131,0,24,1
295,1019,374,1,10,1
296,1932,402,1,27,1
297,254,176,0,19,1
298,1419,90,1,37,1
299,675,483,0,9,1
300,1982,385,0,14,0
301,381,154,1,22,0
302,990,369,1,30,0
303,137,262,1,43,0
304,1564,347,0,24,0
305,35,270,1,39,0
306,67,356,1,11,1
307,490,362,1,17,1
308,80,344,1,2,1
309,1268,217,0,7,0
310,362,198,0,46,0
311,1690,51,0,35,0
312,987,432,1,31,1
313,555,312,1,16,0
314,1061,62,0,41,0
315,1026,40,1,38,1
316,196,315,0,29,1
317,214,203,0,14,1
318,428,4,0,21,0
319,443,266,1,7,0
320,1379,390,0,33,0
321,1836,403,0,3,1
322,1279,432,1,24,0
323,148,410,1,11,1
324,1174,203,0,5,1
325,590,244,0,15,0
326,578,237,0,38,0
327,881,145,0,19,0
328,442,240,1,16,0
329,553,379,1,11,1
330,68,132,0,46,1
331,537,484,0,9,1
332,1471,135,1,11,0
333,1108,368,0,26,0
334,1486,255,1,21,1
