ngo_id,ngo_name,email,location,specializations,capacity,current_load
1,NGO_1,ngo1@example.com,Madurai,Food,48,15
2,NGO_2,ngo2@example.com,Coimbatore,"Education,Disaster Relief",56,8
3,NGO_3,ngo3@example.com,Chennai,"Clothing,Education,Healthcare",70,9
4,NGO_4,ngo4@example.com,Madurai,"Community Development,Healthcare",55,5
5,NGO_5,ngo5@example.com,Bangalore,"Clothing,Healthcare,Disaster Relief",63,1
6,NGO_6,ngo6@example.com,Bangalore,"Community Development,Clothing",44,21
7,NGO_7,ngo7@example.com,Trichy,Disaster Relief,59,22
8,NGO_8,ngo8@example.com,Bangalore,Community Development,70,23
9,NGO_9,ngo9@example.com,Madurai,"Disaster Relief,Healthcare,Education",31,5
10,NGO_10,ngo10@example.com,Bangalore,"Disaster Relief,Education,Clothing",57,2
11,NGO_11,ngo11@example.com,Trichy,"Disaster Relief,Food",70,19
12,NGO_12,ngo12@example.com,Madurai,Education,43,18
13,NGO_13,ngo13@example.com,Bangalore,"Food,Disaster Relief,Community Development",73,20
14,NGO_14,ngo14@example.com,Coimbatore,Food,30,19
15,NGO_15,ngo15@example.com,Trichy,"Education,Clothing",71,14
16,NGO_16,ngo16@example.com,Madurai,"Food,Disaster Relief,Education",47,13
17,NGO_17,ngo17@example.com,Trichy,"Food,Community Development",30,22
18,NGO_18,ngo18@example.com,Coimbatore,"Education,Healthcare",35,20
19,NGO_19,ngo19@example.com,Madurai,Clothing,80,9
20,NGO_20,ngo20@example.com,Trichy,Disaster Relief,39,16
21,NGO_21,ngo21@example.com,Coimbatore,Food,75,3
22,NGO_22,ngo22@example.com,Coimbatore,"Clothing,Education",30,5
23,NGO_23,ngo23@example.com,Madurai,"Food,Healthcare",46,22
24,NGO_24,ngo24@example.com,Chennai,Clothing,72,10
25,NGO_25,ngo25@example.com,Bangalore,"Education,Community Development",38,5
26,NGO_26,ngo26@example.com,Madurai,"Disaster Relief,Community Development,Healthcare",62,1
27,NGO_27,ngo27@example.com,Bangalore,"Education,Community Development",46,17
28,NGO_28,ngo28@example.com,Bangalore,Community Development,71,22
29,NGO_29,ngo29@example.com,Coimbatore,Education,48,3
30,NGO_30,ngo30@example.com,Trichy,"Disaster Relief,Community Development",41,23
31,NGO_31,ngo31@example.com,Madurai,"Food,Disaster Relief,Community Development",30,18
32,NGO_32,ngo32@example.com,Coimbatore,Disaster Relief,49,25
33,NGO_33,ngo33@example.com,Trichy,"Disaster Relief,Community Development,Food",66,22
34,NGO_34,ngo34@example.com,Madurai,"Disaster Relief,Education,Clothing",78,17
35,NGO_35,ngo35@example.com,Madurai,"Food,Disaster Relief,Healthcare",75,17
36,NGO_36,ngo36@example.com,Coimbatore,"Food,Healthcare,Clothing",60,14
37,NGO_37,ngo37@example.com,Coimbatore,"Healthcare,Community Development,Food",33,22
38,NGO_38,ngo38@example.com,Trichy,"Disaster Relief,Clothing,Education",57,13
39,NGO_39,ngo39@example.com,Bangalore,"Healthcare,Clothing,Disaster Relief",51,19
40,NGO_40,ngo40@example.com,Madurai,Clothing,63,17
41,NGO_41,ngo41@example.com,Chennai,"Clothing,Healthcare,Disaster Relief",72,11
42,NGO_42,ngo42@example.com,Trichy,Clothing,32,0
43,NGO_43,ngo43@example.com,Bangalore,"Food,Disaster Relief",34,24
44,NGO_44,ngo44@example.com,Bangalore,"Healthcare,Education",46,14
45,NGO_45,ngo45@example.com,Madurai,"Disaster Relief,Education",59,11
46,NGO_46,ngo46@example.com,Madurai,"Clothing,Healthcare",77,24
47,NGO_47,ngo47@example.com,Chennai,"Clothing,Healthcare,Education",74,23
48,NGO_48,ngo48@example.com,Trichy,"Healthcare,Food,Disaster Relief",40,21
49,NGO_49,ngo49@example.com,Bangalore,"Healthcare,Disaster Relief,Clothing",74,6
50,NGO_50,ngo50@example.com,Madurai,"Disaster Relief,Community Development,Healthcare",78,17
51,NGO_51,ngo51@example.com,Madurai,Disaster Relief,57,20
52,NGO_52,ngo52@example.com,Coimbatore,"Clothing,Community Development",35,22
53,NGO_53,ngo53@example.com,Madurai,"Disaster Relief,Healthcare",55,24
54,NGO_54,ngo54@example.com,Chennai,Food,77,18
55,NGO_55,ngo55@example.com,Trichy,"Food,Community Development,Education",65,8
56,NGO_56,ngo56@example.com,Coimbatore,"Food,Disaster Relief,Community Development",67,5
57,NGO_57,ngo57@example.com,Madurai,Disaster Relief,38,12
58,NGO_58,ngo58@example.com,Chennai,"Healthcare,Clothing,Education",43,0
59,NGO_59,ngo59@example.com,Trichy,"Clothing,Healthcare,Education",62,25
60,NGO_60,ngo60@example.com,Coimbatore,"Education,Food,Healthcare",45,10
61,NGO_61,ngo61@example.com,Bangalore,Community Development,59,23
62,NGO_62,ngo62@example.com,Trichy,Disaster Relief,64,15
63,NGO_63,ngo63@example.com,Bangalore,Education,59,5
64,NGO_64,ngo64@example.com,Chennai,"Food,Disaster Relief",52,0
65,NGO_65,ngo65@example.com,Bangalore,"Clothing,Healthcare,Disaster Relief",46,4
66,NGO_66,ngo66@example.com,Madurai,"Education,Clothing,Disaster Relief",30,17
67,NGO_67,ngo67@example.com,Coimbatore,"Education,Community Development",59,21
68,NGO_68,ngo68@example.com,Coimbatore,"Clothing,Food",55,9
69,NGO_69,ngo69@example.com,Trichy,Education,43,16
70,NGO_70,ngo70@example.com,Madurai,"Clothing,Food,Healthcare",53,7
71,NGO_71,ngo71@example.com,Bangalore,Healthcare,41,21
72,NGO_72,ngo72@example.com,Trichy,"Education,Disaster Relief",42,16
73,NGO_73,ngo73@example.com,Bangalore,"Community Development,Disaster Relief,Education",66,24
74,NGO_74,ngo74@example.com,Coimbatore,"Disaster Relief,Healthcare,Community Development",43,15
75,NGO_75,ngo75@example.com,Chennai,Education,47,23
76,NGO_76,ngo76@example.com,Trichy,"Food,Community Development",48,6
77,NGO_77,ngo77@example.com,Trichy,Clothing,51,15
78,NGO_78,ngo78@example.com,Madurai,Food,70,25
79,NGO_79,ngo79@example.com,Madurai,Community Development,51,19
80,NGO_80,ngo80@example.com,Madurai,"Healthcare,Disaster Relief",56,17
81,NGO_81,ngo81@example.com,Trichy,"Healthcare,Disaster Relief",42,13
